Break (Cursor) : Flexure stress at Break (Cursor),"769.11438",MPa
Modulus (Automatic Young's) : Modulus (Automatic Young's),"31220.30931",MPa
Specimen properties : Support span,"125.00000",mm
Specimen properties : Thickness,"4.11000",mm
Specimen properties : Width,"12.86000",mm
Specimen properties : Specimen label,"2A"

Time,Extension,Load,Flexure stress,Flexure strain (Extension)
(s),(mm),(N),(MPa),(mm/mm)
"18.60000","1.76651","98.86450","85.33301","0.00279"
"18.70000","1.77484","99.37167","85.77077","0.00280"
"18.80000","1.78320","99.71619","86.06813","0.00281"
"18.90000","1.79160","100.52113","86.76290","0.00283"
"19.00000","1.79989","100.65136","86.87530","0.00284"
"19.10000","1.80821","101.06860","87.23544","0.00285"
"19.20000","1.81654","101.62513","87.71579","0.00287"
"19.30000","1.82486","102.30854","88.30566","0.00288"
"19.40000","1.83318","102.52935","88.49625","0.00289"
"19.50000","1.84155","102.95708","88.86543","0.00291"
"19.60000","1.84991","103.33778","89.19403","0.00292"
"19.70000","1.85822","103.79280","89.58678","0.00293"
"19.80000","1.86653","104.76338","90.42451","0.00295"
"19.90000","1.87489","105.32108","90.90588","0.00296"
"20.00000","1.88323","105.40129","90.97511","0.00297"
"20.10000","1.89149","106.20113","91.66547","0.00299"
"20.20000","1.89981","106.45255","91.88248","0.00300"
"20.30000","1.90821","106.94500","92.30753","0.00301"
"20.40000","1.91658","107.51864","92.80266","0.00302"
"20.50000","1.92490","107.66019","92.92484","0.00304"
"20.60000","1.93321","108.35837","93.52746","0.00305"
"20.70000","1.94154","108.74567","93.86176","0.00306"
"20.80000","1.94990","109.09977","94.16738","0.00308"
"20.90000","1.95822","109.63364","94.62819","0.00309"
"21.00000","1.96647","110.44784","95.33094","0.00310"
"21.10000","1.97485","110.73360","95.57760","0.00312"
"21.20000","1.98324","111.26749","96.03841","0.00313"
"21.30000","1.99156","111.43072","96.17930","0.00314"
"21.40000","1.99993","111.91534","96.59760","0.00316"
"21.50000","2.00823","112.60912","97.19641","0.00317"
"21.60000","2.01654","113.36235","97.84655","0.00318"
"21.70000","2.02485","113.50812","97.97237","0.00320"
"21.80000","2.03313","114.11068","98.49245","0.00321"
"21.90000","2.04151","114.39118","98.73457","0.00322"
"22.00000","2.04988","115.10411","99.34991","0.00324"
"22.10000","2.05818","115.48381","99.67765","0.00325"
"22.20000","2.06659","115.92830","100.06130","0.00326"
"22.30000","2.07499","116.69838","100.72598","0.00327"
"22.40000","2.08321","116.57405","100.61867","0.00329"
"22.50000","2.09155","117.48197","101.40232","0.00330"
"22.60000","2.09983","118.00077","101.85011","0.00331"
"22.70000","2.10817","118.35722","102.15778","0.00333"
"22.80000","2.11654","118.63385","102.39655","0.00334"
"22.90000","2.12487","119.38308","103.04323","0.00335"
"23.00000","2.13317","119.50208","103.14594","0.00337"
"23.10000","2.14161","119.95827","103.53969","0.00338"
"23.20000","2.14998","120.46583","103.97778","0.00339"
"23.30000","2.15824","120.76566","104.23657","0.00341"
"23.40000","2.16653","121.71222","105.05358","0.00342"
"23.50000","2.17484","122.05573","105.35007","0.00343"
"23.60000","2.18316","122.53417","105.76303","0.00345"
"23.70000","2.19150","123.23911","106.37148","0.00346"
"23.80000","2.19986","123.31202","106.43442","0.00347"
"23.90000","2.20824","123.99416","107.02319","0.00349"
"24.00000","2.21657","124.67557","107.61134","0.00350"
"24.10000","2.22493","124.79041","107.71046","0.00351"
"24.20000","2.23323","125.40556","108.24141","0.00352"
"24.30000","2.24157","126.02208","108.77355","0.00354"
"24.40000","2.24988","126.02892","108.77946","0.00355"
"24.50000","2.25813","126.57183","109.24806","0.00356"
"24.60000","2.26648","127.32368","109.89700","0.00358"
"24.70000","2.27489","127.61746","110.15057","0.00359"
"24.80000","2.28320","128.26535","110.70979","0.00360"
"24.90000","2.29156","128.74141","111.12069","0.00362"
"25.00000","2.29992","128.83405","111.20065","0.00363"
"25.10000","2.30825","129.66336","111.91646","0.00364"
"25.20000","2.31657","130.13542","112.32391","0.00366"
"25.30000","2.32481","130.52046","112.65625","0.00367"
"25.40000","2.33314","130.86580","112.95432","0.00368"
"25.50000","2.34154","131.44370","113.45312","0.00370"
"25.60000","2.34985","131.80717","113.76685","0.00371"
"25.70000","2.35821","132.52568","114.38702","0.00372"
"25.80000","2.36659","133.09540","114.87875","0.00374"
"25.90000","2.37491","133.42393","115.16232","0.00375"
"26.00000","2.38323","133.78140","115.47086","0.00376"
"26.10000","2.39157","134.46397","116.06001","0.00377"
"26.20000","2.39984","134.85226","116.39516","0.00379"
"26.30000","2.40817","135.21492","116.70818","0.00380"
"26.40000","2.41650","135.55005","116.99744","0.00381"
"26.50000","2.42483","136.18810","117.54816","0.00383"
"26.60000","2.43325","136.81406","118.08844","0.00384"
"26.70000","2.44162","136.99628","118.24572","0.00385"
"26.80000","2.44988","137.36050","118.56010","0.00387"
"26.90000","2.45820","137.68907","118.84370","0.00388"
"27.00000","2.46653","138.28618","119.35908","0.00389"
"27.10000","2.47487","139.03079","120.00178","0.00391"
"27.20000","2.48316","139.35849","120.28462","0.00392"
"27.30000","2.49146","140.01445","120.85080","0.00393"
"27.40000","2.49986","140.53127","121.29688","0.00395"
"27.50000","2.50826","140.94144","121.65091","0.00396"
"27.60000","2.51657","141.47948","122.11531","0.00397"
